"{2A289EA1-A1A6-CDC8-E050-A8C063054829}","160500","2000-03-24 00:00","PO37 6EA","D","N","F","13","","HOPE ROAD","","SHANKLIN","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{49B7852A-D1BB-7921-E050-A8C063056E8D}","505000","2017-01-06 00:00","PO31 7EA","O","N","F","1A","","MILL HILL ROAD","","COWES","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{582D0637-EA98-8F22-E053-6C04A8C01BAC}","34000","2017-06-11 00:00","PO36 8QP","O","N","L","SANDOWN BAY HOLIDAY CENTRE","CHALET 13","YAVERLAND ROAD","","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{5CF9903C-E2EC-7F13-E053-6C04A8C074B1}","38000","2017-10-09 00:00","PO36 8QP","O","N","L","SANDOWN BAY HOLIDAY CENTRE","CHALET 184","YAVERLAND ROAD","","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{3DCCB7CA-BAE3-5B9D-E063-4704A8C0331E}","400000","2022-05-26 00:00","PO36 0NU","O","N","F","HILL TOP BARN","","HILL TOP","NEWCHURCH","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{3DCCB7CA-BAE5-5B9D-E063-4704A8C0331E}","2500","2019-10-09 00:00","PO33 1FA","O","N","F","CEDAR LODGE","","SWAYLANDS CLOSE","","RYDE","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{3DCCB7CA-BAE7-5B9D-E063-4704A8C0331E}","187500","2019-11-01 00:00","PO30 2LU","O","N","F","FOUR LAKES RETREAT","","STAPLERS ROAD","","NEWPORT","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{8CAC1319-069A-0253-E053-6B04A8C08E51}","650000","2019-04-17 00:00","PO31 7EA","O","N","F","1A","","MILL HILL ROAD","","COWES","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{0E082197-7038-5C09-E063-4704A8C0A10E}","300000","2019-12-20 00:00","PO30 5TJ","O","N","F","50","","HORSEBRIDGE HILL","","NEWPORT","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{3DCCB7CA-047B-5B9D-E063-4704A8C0331E}","131000","2022-10-13 00:00","PO33 1FF","F","N","L","64","","AMHERST PLACE","","RYDE","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
"{80E1AA99-07CA-7BF8-E053-6C04A8C00BF2}","30000","2018-12-31 00:00","PO36 8QP","O","N","L","SANDOWN BAY HOLIDAY CENTRE","CHALET 7","YAVERLAND ROAD","","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","C"
"{EED73E75-AC8E-6AF3-E053-6C04A8C08ABA}","400000","2022-05-26 00:00","PO36 0NU","D","N","F","HILL TOP BARN","","HILL TOP","NEWCHURCH","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","A","C"
"{3DCCB7CA-BAE1-5B9D-E063-4704A8C0331E}","290000","2015-03-20 00:00","PO36 0DQ","O","N","F","46 - 48","","HIGH STREET","BRADING","SANDOWN","ISLE OF WIGHT","ISLE OF WIGHT","B","A"
