Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/09/1996,Isle of Wight,E06000046,44086,16.3,,1.1,2.4,,309,70333,16.4,1.5,3.3,46155,15.7,1,2.6,35147,15.5,1.1,1.7,29436,18.6,0.3,0.9,,,,,,,,,,,,,,,,,,,52197,16.6,0.3,4.4,17,43934,16.3,1.1,2.3,292
01/10/1996,Isle of Wight,E06000046,43446,16.1,,-1.5,1.2,,293,69530,16.2,-1.1,2.3,45462,15.4,-1.5,1.2,34546,15.2,-1.7,0.7,28928,18.3,-1.7,-0.7,,,,,,,,,,,,,,,,,,,51405,16.3,-1.5,2.5,25,43298,16.1,-1.4,1.1,268
01/11/1996,Isle of Wight,E06000046,43234,16,,-0.5,2,,270,69047,16.1,-0.7,3.1,45270,15.4,-0.4,2.1,34392,15.2,-0.4,1.9,28878,18.3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,51164,16.2,-0.5,2.8,25,43087,16,-0.5,2,245
01/12/1996,Isle of Wight,E06000046,43710,16.2,,1.1,1,,337,69728,16.3,1,2,45872,15.6,1.3,1.1,34760,15.3,1.1,1,29173,18.4,1,-1.4,,,,,,,,,,,,,,,,,,,51744,16.4,1.1,0.5,30,43560,16.2,1.1,1,307
01/01/1997,Isle of Wight,E06000046,44781,16.6,,2.4,0.8,,278,71392,16.7,2.4,1.8,46990,15.9,2.4,0.9,35669,15.7,2.6,0.8,29869,18.9,2.4,-1.4,,,,,,,,,,,,,,,,,,,52765,16.7,2,-0.9,24,44643,16.6,2.5,0.9,254
01/02/1997,Isle of Wight,E06000046,44579,16.5,,-0.5,0.1,,224,71222,16.6,-0.2,1.5,46741,15.9,-0.5,-0.2,35429,15.6,-0.7,-0.5,29721,18.8,-0.5,-1.7,,,,,,,,,,,,,,,,,,,52619,16.7,-0.3,-2.2,24,44430,16.5,-0.5,0.3,200
01/03/1997,Isle of Wight,E06000046,44435,16.5,,-0.3,0.7,,302,70991,16.6,-0.3,1.9,46483,15.8,-0.6,0.1,35342,15.6,-0.2,0.4,29688,18.8,-0.1,-0.5,,,,,,,,,,,,,,,,,,,52685,16.7,0.1,-1.6,40,44265,16.4,-0.4,0.9,262
01/04/1997,Isle of Wight,E06000046,45687,16.9,,2.8,6.5,,297,72838,17,2.6,7.7,47874,16.2,3,6.1,36364,16,2.9,6,30535,19.3,2.9,5.1,,,,,,,,,,,,,,,,,,,54416,17.3,3.3,4.8,29,45492,16.9,2.8,6.6,268
01/05/1997,Isle of Wight,E06000046,47137,17.5,,3.2,10,,345,74998,17.5,3,10.8,49515,16.8,3.4,10.1,37639,16.6,3.5,9.8,31371,19.8,2.7,8.2,,,,,,,,,,,,,,,,,,,55864,17.7,2.7,8.4,25,46958,17.4,3.2,10.1,320
01/06/1997,Isle of Wight,E06000046,47468,17.6,,0.7,10.6,,292,75834,17.7,1.1,12.1,49921,16.9,0.8,11.1,37830,16.7,0.5,10,31357,19.8,0,7.4,,,,,,,,,,,,,,,,,,,55811,17.7,-0.1,8.4,31,47323,17.6,0.8,10.8,261
